Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,105.419998,105.559998,104.449997,104.889999,103.501060,33000
2019-01-03,105.809998,105.889999,104.510002,104.529999,103.145828,82000
2019-01-04,107.550003,109.190002,107.550003,108.779999,107.339554,69700
2019-01-07,108.610001,109.180000,108.419998,109.099998,107.655312,82900
2019-01-08,111.620003,111.889999,111.040001,111.320000,109.845917,62800
2019-01-09,112.250000,112.510002,111.099998,112.099998,110.615593,33000
2019-01-10,112.339996,112.800003,111.900002,112.639999,111.148438,25400
2019-01-11,112.470001,113.220001,112.419998,112.900002,111.404999,24100
2019-01-14,112.500000,113.660004,112.500000,113.330002,111.829308,41600
2019-01-15,112.669998,114.010002,112.629997,113.889999,112.381889,69500
2019-01-16,113.000000,113.279999,112.779999,113.019997,111.523407,19200
2019-01-17,113.089996,114.620003,113.089996,114.320000,112.806190,49100
2019-01-18,116.139999,116.750000,115.300003,116.180000,114.641563,42500
2019-01-22,116.720001,117.070000,116.169998,116.279999,114.740242,173000
2019-01-23,117.800003,118.330002,117.419998,118.019997,116.457199,23100
2019-01-24,114.500000,114.900002,113.919998,114.330002,112.816063,66500
2019-01-25,116.639999,116.699997,116.120003,116.400002,114.858650,162400
2019-01-28,115.910004,116.459999,115.739998,116.309998,114.769844,53500
2019-01-29,116.370003,116.919998,116.180000,116.599998,115.056000,198800
2019-01-30,117.449997,118.800003,117.139999,118.470001,116.901245,132700
2019-01-31,118.230003,119.099998,118.000000,119.019997,117.443954,38700
2019-02-01,115.089996,115.290001,113.209999,114.300003,112.786461,416600
2019-02-04,111.940002,112.790001,111.330002,112.680000,111.187912,49300
2019-02-05,115.559998,115.830002,115.099998,115.669998,114.138313,79200
2019-02-06,115.820000,115.820000,114.620003,114.769997,113.250229,25400
2019-02-07,113.290001,113.610001,112.980003,113.500000,111.997055,40800
2019-02-08,112.459999,112.860001,111.949997,112.860001,111.365524,75700
2019-02-11,112.400002,112.800003,112.290001,112.400002,110.911621,26500
2019-02-12,113.370003,114.379997,113.160004,114.320000,112.806190,24700
2019-02-13,113.330002,113.330002,111.779999,112.300003,110.812943,41500
2019-02-14,111.360001,111.820000,111.129997,111.389999,109.914993,19200
2019-02-15,111.830002,113.019997,111.550003,112.800003,111.306328,25900
2019-02-19,113.150002,114.930000,113.050003,114.550003,113.033150,48700
2019-02-20,114.150002,115.339996,114.150002,115.220001,113.694275,82600
2019-02-21,115.370003,115.500000,114.750000,115.110001,113.585732,27100
2019-02-22,114.849998,116.099998,114.849998,115.900002,114.365273,44600
2019-02-25,118.529999,119.980003,118.480003,119.410004,117.828796,47500
2019-02-26,121.099998,122.150002,120.959999,122.150002,120.532509,32500
2019-02-27,121.510002,121.580002,120.889999,121.320000,119.713501,25300
2019-02-28,121.449997,122.139999,121.050003,121.400002,119.792442,53800
2019-03-01,123.980003,124.320000,122.989998,123.169998,121.539001,23200
2019-03-04,123.550003,123.550003,121.720001,122.239998,120.621315,33500
2019-03-05,122.400002,122.680000,122.110001,122.519997,120.897606,30900
2019-03-06,123.589996,123.650002,123.000000,123.150002,121.519272,21800
2019-03-07,122.099998,122.099998,120.459999,120.660004,119.062248,45800
2019-03-08,117.970001,118.699997,117.839996,118.680000,117.108459,33900
2019-03-11,118.980003,120.000000,118.739998,119.889999,118.302437,25100
2019-03-12,119.309998,119.989998,117.500000,119.339996,117.759720,36300
2019-03-13,115.129997,116.809998,114.900002,116.010002,114.473816,66200
2019-03-14,119.230003,120.940002,119.230003,120.349998,118.756348,29900
2019-03-15,120.269997,120.800003,119.699997,120.410004,118.815552,24700
2019-03-18,117.500000,118.190002,116.989998,118.089996,116.526268,24100
2019-03-19,120.500000,120.550003,118.750000,119.099998,117.522896,31300
2019-03-20,120.000000,120.639999,119.099998,119.919998,118.332039,33100
2019-03-21,118.779999,119.050003,118.089996,118.809998,117.236732,15700
2019-03-22,118.790001,119.470001,117.910004,118.559998,116.990044,59500
2019-03-25,120.129997,120.639999,119.769997,120.320000,118.726746,19600
2019-03-26,121.160004,121.190002,120.470001,120.809998,119.210251,21800
2019-03-27,121.230003,121.279999,120.220001,120.699997,119.101707,26300
2019-03-28,121.129997,121.250000,120.470001,120.779999,119.180649,19400
2019-03-29,121.940002,122.419998,121.480003,121.849998,120.236481,28300
